sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,label
0.001,0.001,0.001,0.0137,0.001,7
0.0,0.001,0.001,0.0176,0.001,7
0.001,0.001,0.001,0.0215,0.0,7
0.001,0.001,0.001,0.0205,0.001,7
0.001,0.001,0.001,0.0117,0.001,7
0.001,0.001,0.001,0.0117,0.0,7
0.001,0.001,0.001,0.0088,0.001,7
0.001,0.001,0.001,0.0049,0.001,7
0.001,0.001,0.001,0.0068,0.001,7
0.001,0.001,0.001,0.0059,0.0,7
0.001,0.0,0.0,0.0068,0.001,7
0.002,0.0,0.001,0.0088,0.0,7
0.001,0.001,0.001,0.0059,0.001,7
0.001,0.0,0.001,0.0088,0.001,7
0.001,0.001,0.0,0.0088,0.001,7
0.001,0.001,0.0,0.0078,0.001,7
0.001,0.001,0.001,0.0068,0.0,7
0.001,0.001,0.0,0.0078,0.001,7
0.001,0.001,0.001,0.0068,0.001,7
0.001,0.001,0.001,0.0108,0.0,7
0.001,0.0,0.0,0.0088,0.0,7
0.002,0.001,0.001,0.0108,0.001,7
0.001,0.0,0.001,0.0117,0.001,7
0.001,0.001,0.001,0.0117,0.0,7
0.001,0.001,0.001,0.0108,0.0,7
0.001,0.001,0.001,0.0088,0.0,7
0.001,0.001,0.001,0.0108,0.0,7
0.002,0.001,0.0117,0.001,0.001,8
0.0029,0.2678,0.0147,0.001,0.001,8
0.0059,0.0,0.0156,0.001,0.001,8
0.0049,0.001,0.0137,0.001,0.001,8
0.0049,0.0,0.0147,0.001,0.001,8
0.0039,0.001,0.0147,0.001,0.001,8
0.0049,0.001,0.0156,0.001,0.001,8
0.0049,0.001,0.0156,0.001,0.001,8
0.0049,0.001,0.0156,0.001,0.001,8
0.0039,0.001,0.0147,0.001,0.001,8
0.0029,0.001,0.0137,0.001,0.001,8
0.001,0.0,0.0137,0.001,0.001,8
0.001,0.001,0.0127,0.001,0.001,8
0.001,0.001,0.0108,0.001,0.0,8
0.001,0.001,0.0117,0.001,0.0,8
0.002,0.0,0.0137,0.001,0.001,8
0.0029,0.001,0.0137,0.001,0.001,8
0.0029,0.001,0.0147,0.001,0.001,8
0.0029,0.001,0.0156,0.001,0.001,8
0.002,0.001,0.0137,0.001,0.0,8
0.002,0.0,0.0137,0.001,0.0,8
0.002,0.001,0.0127,0.001,0.001,8
0.002,0.0,0.0127,0.001,0.0,8
0.002,0.001,0.0127,0.001,0.001,8
0.002,0.001,0.0117,0.001,0.001,8
0.0029,0.0,0.0117,0.001,0.001,8
0.0029,0.001,0.0117,0.001,0.001,8
0.0029,0.001,0.0127,0.001,0.001,8
0.0029,0.001,0.0117,0.001,0.001,8
0.0029,0.001,0.0108,0.001,0.001,8
0.0029,0.001,0.0117,0.001,0.001,8
0.0029,0.001,0.0117,0.001,0.001,8
0.0029,0.001,0.0108,0.001,0.001,8
0.0029,0.001,0.0108,0.001,0.001,8
0.0029,0.001,0.0108,0.001,0.001,8
0.0029,0.001,0.0108,0.001,0.001,8
0.0029,0.001,0.0117,0.001,0.001,8
0.0029,0.001,0.0108,0.001,0.001,8
0.0029,0.001,0.0098,0.001,0.0,8
0.002,0.001,0.0108,0.001,0.0,8
0.002,0.0,0.0108,0.001,0.001,8
0.0029,0.0,0.0108,0.001,0.001,8
0.0029,0.001,0.0098,0.001,0.001,8
0.0029,0.0,0.0108,0.0,0.001,8
0.0029,0.001,0.0117,0.001,0.001,8
0.0029,0.001,0.0108,0.001,0.001,8
0.0029,0.001,0.0117,0.001,0.0,8
0.0029,0.001,0.0127,0.001,0.001,8
0.0029,0.001,0.0127,0.001,0.001,8
0.0029,0.001,0.0098,0.001,0.001,8
0.0108,0.0078,0.001,0.001,0.001,9
0.0127,0.0039,0.002,0.001,0.001,9
0.0137,0.0088,0.001,0.001,0.001,9
0.0147,0.0088,0.001,0.001,0.001,9
0.0127,0.0088,0.001,0.001,0.001,9
0.0127,0.0088,0.001,0.001,0.001,9
0.0117,0.0098,0.0,0.001,0.001,9
0.0098,0.0088,0.001,0.001,0.001,9
0.0127,0.0108,0.001,0.001,0.001,9
0.0117,0.0108,0.001,0.0,0.001,9
0.0137,0.0108,0.001,0.001,0.0,9
0.0156,0.0108,0.001,0.001,0.0,9
0.0156,0.0127,0.001,0.0,0.001,9
0.0166,0.0127,0.0,0.001,0.001,9
0.0137,0.0127,0.001,0.001,0.001,9
0.0147,0.0117,0.001,0.001,0.001,9
0.0137,0.0098,0.001,0.001,0.0,9
0.0156,0.0098,0.001,0.001,0.001,9
0.0176,0.0108,0.001,0.001,0.001,9
0.0156,0.0117,0.001,0.001,0.001,9
0.0166,0.0108,0.001,0.001,0.001,9
0.0176,0.2121,0.0039,0.001,0.001,9
